Latitude,Longitude,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,Yield,,
11.96362,75.44565,5.0,0.03,1.9,25,164,191.0,78.4,18.4,2.22,0.35,39.7,0.89,46.3,Coconut,7254,,
11.96383,75.45534,4.7,0.08,1.2,23,464,433.5,125.4,8.8,1.83,0.33,25.1,0.61,42.3,Coconut,6485,,
11.96383,75.45534,4.7,0.08,1.2,23,464,433.5,125.4,8.8,1.83,0.33,25.1,0.61,42.3,Pepper,412,,
11.96383,75.45534,4.7,0.08,1.2,23,464,433.5,125.4,8.8,1.83,0.33,25.1,0.61,42.3,Banana,7900,,
11.96198,75.45338,4.4,0.16,2.0,43,55,268.5,116.3,7.9,3.54,0.37,187.5,5.23,30.0,Paddy,2345,,
11.96216,75.45421,4.9,0.17,1.7,26,343,555.0,136.7,10.6,29.1,0.39,88.6,2.39,70.7,Paddy,2540,,
11.96242,75.45538,4.6,0.20,2.0,74,252,320.5,109.0,9.3,3.07,0.38,113.8,2.32,25.3,Paddy,1890,,
12.00373,75.46043,4.3,0.12,1.7,63,45,249.0,91.7,10.4,3.52,0.26,219.7,7.83,45.5,Banana,7800,,
12.00359,75.46042,4.8,0.12,1.5,27,106,479.5,109.7,3.5,2.53,0.34,50.8,3.9,53.0,Bittergouard,890,,
12.00377,75.46029,4.8,0.21,1.4,26,127,521.5,144.9,11.8,3.06,0.40,91.6,4.21,65.6,Paddy,1950,,
12.00367,75.46032,4.0,0.11,1.8,58,60,236.0,136.1,11.9,3.15,0.37,140.0,5.5,49.1,Paddy,2450,,
12.00251,75.45893,4.2,0.09,1.9,26,77,233.5,101.1,19.6,3.64,0.43,99.3,5.5,32.9,Paddy,2350,,
12.00251,75.45893,4.2,0.09,1.9,26,77,233.5,101.1,19.6,3.64,0.43,99.3,5.5,32.9,Bittergourd,880,,
12.00256,75.45901,4.4,0.09,2.0,28,50,392.5,113.9,26.5,4.07,0.46,162.6,9.14,38.4,Paddy,2200,,
12.00256,75.45901,4.4,0.09,2.0,28,50,392.5,113.9,26.5,4.07,0.46,162.6,9.14,38.4,Cucurbit,1450,,
12.00264,75.45913,5.0,0.07,1.4,27,60,413.0,150.1,22.5,2.65,0.38,61.8,5.59,45.4,Paddy,1780,,
12.00264,75.45913,5.0,0.07,1.4,27,60,413.0,150.1,22.5,2.65,0.38,61.8,5.59,45.4,Bhendi,4250,,
12.00259,75.45929,4.2,0.10,1.9,28,36,158.0,207.8,9.8,3.34,0.35,111.9,6.01,46.7,Paddy,2125,,
12.00259,75.45929,4.2,0.10,1.9,28,36,158.0,207.8,9.8,3.34,0.35,111.9,6.01,46.7,Cowpea,980,,
12.00265,75.45950,5.5,0.08,1.0,30,44,678.0,37.7,14.3,2.83,0.36,55.2,3.71,83.2,Paddy,2354,,
12.00265,75.45950,5.5,0.08,1.0,30,44,678.0,37.7,14.3,2.83,0.36,55.2,3.71,83.2,Brinjal,2580,,
