iter	MultiClass
0	1.340189137
1	1.298839108
2	1.260171656
3	1.220240337
4	1.182214457
5	1.151571368
6	1.121064001
7	1.095031935
8	1.064349257
9	1.040910444
10	1.018910702
11	0.9976594455
12	0.9740001835
13	0.9550968343
14	0.937441758
15	0.9199769604
16	0.9038966814
17	0.8889067316
18	0.8710491422
19	0.8575295537
20	0.8445287412
21	0.830868741
22	0.8186714529
23	0.8069026626
24	0.7931472693
25	0.7820574627
26	0.7720792461
27	0.7607933333
28	0.7511153278
29	0.7409954435
30	0.7321100462
31	0.7231742153
32	0.7143417231
33	0.7060984966
34	0.6989413925
35	0.6892097501
36	0.683372062
37	0.6762130202
38	0.6685592965
39	0.6625828589
40	0.6544749773
41	0.6457545688
42	0.6394215324
43	0.631911756
44	0.6262803251
45	0.6213533536
46	0.6143959475
47	0.6076023309
48	0.6023671352
49	0.5963430734
50	0.5903239679
51	0.5856376905
52	0.5810690642
53	0.5769523512
54	0.5715434732
55	0.5671173091
56	0.5635628236
57	0.5594573243
58	0.5559458464
59	0.5514042832
60	0.5480045929
61	0.545709457
62	0.542669752
63	0.5394764862
64	0.536957969
65	0.5336328167
66	0.5297516581
67	0.5270626004
68	0.5243788608
69	0.5224338686
70	0.5199089729
71	0.5179314272
72	0.5156003351
73	0.5137316861
74	0.510997675
75	0.5079785658
76	0.5055984689
77	0.5035419397
78	0.5026929557
79	0.5007461882
80	0.4989486546
81	0.4968426936
82	0.4950396034
83	0.4930550041
84	0.4916208392
85	0.4900502371
86	0.4888803955
87	0.4862115853
88	0.4846934946
89	0.4829581629
90	0.48086428
91	0.4798051391
92	0.4774831203
93	0.4757744323
94	0.4742390816
95	0.4730313235
96	0.4726593183
97	0.4707207559
98	0.4697548578
99	0.4682265264
