iter	Passed	Remaining
0	0	51
1	0	43
2	1	39
3	1	38
4	1	36
5	2	35
6	2	36
7	3	35
8	3	34
9	3	34
10	4	33
11	4	33
12	4	33
13	5	32
14	5	32
15	5	31
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	28
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	26
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	21
40	14	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	17	18
49	18	18
50	18	17
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	24	14
62	25	14
63	26	14
64	26	14
65	27	13
66	27	13
67	28	13
68	29	13
69	30	12
70	31	12
71	31	12
72	32	12
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	42	2
94	43	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
