iter	Passed	Remaining
0	4	4155
1	7	3686
2	9	3240
3	12	3032
4	14	2824
5	16	2664
6	17	2548
7	19	2449
8	21	2327
9	22	2237
10	24	2171
11	25	2095
12	26	2022
13	27	1960
14	28	1890
15	30	1850
16	31	1807
17	32	1764
18	33	1728
19	34	1693
20	35	1658
21	36	1635
22	37	1607
23	38	1584
24	40	1563
25	41	1545
26	42	1528
27	43	1510
28	44	1492
29	45	1476
30	46	1461
31	47	1447
32	48	1434
33	50	1423
34	51	1411
35	52	1399
36	53	1388
37	54	1380
38	55	1371
39	56	1361
40	57	1351
41	58	1344
42	60	1337
43	61	1329
44	62	1321
45	62	1305
46	64	1298
47	65	1291
48	66	1284
49	67	1278
50	68	1271
51	69	1265
52	70	1259
53	71	1255
54	72	1249
55	73	1243
56	74	1238
57	76	1235
58	77	1230
59	78	1226
60	79	1224
61	80	1219
62	81	1214
63	82	1210
64	83	1207
65	85	1204
66	86	1199
67	87	1195
68	88	1191
69	89	1188
70	90	1185
71	91	1180
72	92	1177
73	93	1174
74	94	1171
75	96	1168
76	97	1165
77	98	1161
78	99	1158
79	100	1156
80	101	1153
81	102	1150
82	103	1147
83	104	1144
84	106	1141
85	107	1139
86	108	1136
87	109	1133
88	110	1130
89	111	1128
90	112	1125
91	113	1123
92	114	1120
93	115	1117
94	117	1115
95	118	1113
96	119	1111
97	120	1109
98	121	1106
99	122	1104
100	123	1101
101	124	1098
102	125	1096
103	127	1095
104	128	1093
105	129	1091
106	130	1089
107	131	1087
108	132	1085
109	133	1083
110	135	1082
111	136	1080
112	137	1078
113	138	1076
114	139	1075
115	140	1073
116	141	1071
117	143	1069
118	144	1067
119	145	1066
120	146	1064
121	147	1062
122	148	1060
123	149	1058
124	151	1057
125	152	1055
126	153	1054
127	154	1052
128	155	1051
129	156	1049
130	158	1048
131	159	1046
132	160	1045
133	161	1043
134	162	1041
135	163	1039
136	164	1037
137	165	1036
138	166	1034
139	168	1033
140	169	1033
141	170	1032
142	172	1031
143	173	1030
144	174	1029
145	175	1028
146	176	1026
147	178	1025
148	179	1023
149	180	1022
150	181	1021
151	182	1020
152	184	1018
153	185	1017
154	186	1016
155	187	1014
156	188	1012
157	189	1011
158	191	1011
159	192	1012
160	193	1010
161	195	1009
162	196	1008
163	197	1006
164	198	1005
165	199	1003
166	200	1002
167	202	1004
168	203	1002
169	205	1001
170	206	999
171	207	997
172	208	996
173	209	994
174	210	993
175	211	991
176	213	990
177	214	988
178	215	988
179	216	986
180	217	984
181	218	983
182	219	981
183	221	980
184	222	979
185	223	978
186	224	976
187	225	975
188	226	973
189	228	972
190	229	971
191	230	969
192	231	968
193	232	967
194	233	965
195	235	964
196	236	963
197	237	961
198	238	960
199	239	959
200	240	957
201	242	956
202	243	955
203	244	953
204	245	952
205	246	950
206	247	949
207	249	948
208	250	947
209	251	945
210	252	944
211	253	942
212	254	941
213	255	939
214	257	938
215	258	937
216	259	935
217	260	934
218	261	933
219	262	931
220	263	930
221	265	929
222	266	927
223	267	926
224	268	924
225	269	923
226	270	922
227	271	920
228	273	919
229	274	918
230	275	916
231	276	915
232	277	914
233	278	912
234	279	911
235	281	910
236	282	908
237	283	907
238	284	906
239	285	905
240	287	904
241	288	902
242	289	901
243	290	900
244	291	898
245	292	897
246	294	896
247	295	894
248	296	893
249	297	891
250	298	889
251	299	888
252	300	887
253	301	885
254	302	884
255	303	883
256	305	881
257	306	880
258	307	879
259	308	877
260	309	876
261	310	875
262	311	873
263	312	872
264	314	871
265	315	869
266	316	868
267	317	867
268	318	865
269	319	864
270	321	863
271	322	862
272	323	860
273	324	859
274	325	858
275	326	857
276	327	855
277	328	854
278	330	853
279	331	851
280	332	851
281	333	850
282	334	848
283	336	847
284	337	846
285	338	845
286	339	844
287	340	842
288	342	841
289	343	840
290	344	839
291	345	838
292	346	836
293	347	835
294	349	834
295	350	833
296	351	831
297	352	830
298	353	829
299	355	828
300	356	827
301	357	826
302	358	825
303	359	824
304	361	823
305	362	822
306	363	821
307	365	820
308	366	818
309	367	817
310	368	816
311	369	814
312	370	813
313	371	812
314	373	811
315	374	810
316	375	810
317	377	808
318	378	807
319	379	806
320	380	805
321	381	803
322	383	802
323	384	801
324	385	800
325	386	799
326	387	797
327	388	796
328	390	795
329	391	794
330	392	793
331	393	792
332	395	791
333	396	790
334	397	788
335	398	787
336	399	786
337	400	785
338	402	784
339	403	782
340	404	781
341	405	780
342	406	779
343	407	777
344	409	776
345	410	775
346	411	774
347	412	773
348	413	771
349	415	770
350	416	769
351	417	768
352	418	767
353	419	766
354	421	765
355	422	764
356	423	762
357	424	761
358	425	760
359	427	759
360	428	758
361	429	756
362	430	755
363	431	754
364	432	752
365	433	751
366	435	750
367	436	749
368	437	748
369	438	747
370	439	745
371	441	744
372	442	743
373	443	742
374	444	741
375	445	740
376	447	738
377	448	737
378	449	736
379	450	735
380	451	734
381	452	732
382	454	731
383	455	730
384	456	729
385	457	727
386	458	726
387	459	725
388	461	724
389	462	723
390	463	722
391	464	720
392	466	719
393	467	718
394	468	717
395	469	716
396	470	715
397	471	713
398	473	712
399	474	711
400	475	710
401	476	709
402	477	707
403	479	706
404	480	705
405	481	704
406	482	703
407	483	702
408	484	700
409	486	699
410	487	698
411	488	697
412	489	696
413	490	694
414	492	693
415	493	692
416	494	691
417	495	690
418	496	688
419	498	687
420	499	686
421	500	685
422	501	684
423	503	683
424	504	682
425	505	681
426	506	680
427	508	678
428	509	677
429	510	676
430	511	675
431	512	674
432	513	673
433	515	671
434	516	670
435	517	669
436	518	668
437	519	667
438	521	665
439	522	664
440	523	663
441	525	662
442	526	662
443	528	661
444	529	659
445	530	658
446	531	657
447	532	656
448	534	655
449	535	654
450	536	653
451	537	652
452	539	650
453	540	649
454	541	648
455	542	647
456	543	646
457	544	644
458	546	643
459	547	642
460	548	641
461	549	640
462	550	638
463	552	637
464	553	636
465	554	635
466	555	634
467	556	632
468	557	631
469	559	630
470	560	629
471	561	628
472	562	626
473	563	625
474	564	624
475	566	623
476	567	622
477	568	620
478	569	619
479	570	618
480	571	617
481	573	615
482	574	614
483	575	613
484	576	612
485	577	611
486	578	609
487	580	608
488	581	607
489	582	606
490	583	604
491	584	603
492	585	602
493	587	601
494	588	600
495	589	598
496	590	597
497	591	596
498	592	595
499	594	594
500	595	592
501	596	591
502	597	590
503	598	589
504	600	588
505	601	587
506	602	585
507	603	584
508	604	583
509	605	582
510	607	581
511	608	579
512	609	578
513	610	577
514	612	576
515	613	575
516	614	574
517	615	572
518	616	571
519	617	570
520	619	569
521	620	567
522	621	566
523	622	565
524	623	564
525	624	563
526	625	561
527	627	560
528	628	559
529	629	558
530	630	557
531	631	555
532	633	554
533	634	553
534	635	552
535	636	551
536	637	549
537	638	548
538	640	547
539	641	546
540	642	545
541	643	543
542	644	542
543	645	541
544	647	540
545	648	539
546	649	537
547	650	536
548	651	535
549	652	534
550	654	532
551	655	531
552	656	530
553	657	529
554	658	528
555	659	526
556	660	525
557	662	524
558	663	523
559	664	522
560	666	521
561	667	520
562	668	518
563	669	517
564	670	516
565	671	515
566	673	514
567	674	512
568	675	511
569	676	510
570	677	509
571	679	508
572	680	506
573	681	505
574	682	504
575	683	503
576	684	501
577	685	500
578	687	499
579	688	498
580	689	497
581	690	495
582	691	494
583	693	493
584	694	492
585	695	491
586	697	490
587	698	489
588	699	488
589	700	486
590	701	485
591	703	484
592	704	483
593	705	482
594	706	480
595	707	479
596	709	478
597	710	477
598	711	476
599	712	475
600	713	473
601	715	472
602	716	471
603	717	470
604	718	469
605	719	467
606	720	466
607	722	465
608	723	464
609	724	463
610	725	462
611	726	460
612	728	459
613	729	458
614	730	457
615	731	456
616	732	454
617	733	453
618	735	452
619	736	451
620	737	450
621	738	448
622	739	447
623	740	446
624	741	445
625	742	443
626	744	442
627	745	441
628	746	440
629	747	439
630	748	437
631	750	436
632	751	435
633	752	434
634	753	433
635	754	431
636	755	430
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	764	422
644	765	421
645	766	420
646	767	418
647	768	417
648	769	416
649	771	415
650	772	413
651	773	412
652	774	411
653	775	410
654	776	409
655	777	407
656	779	406
657	780	405
658	781	404
659	782	403
660	783	401
661	784	400
662	786	399
663	787	398
664	788	397
665	789	396
666	790	394
667	792	393
668	793	392
669	794	391
670	795	390
671	796	388
672	797	387
673	798	386
674	800	385
675	801	384
676	802	382
677	803	381
678	804	380
679	805	379
680	807	378
681	808	376
682	809	375
683	810	374
684	811	373
685	812	372
686	814	370
687	815	369
688	816	368
689	817	367
690	819	366
691	820	365
692	821	363
693	822	362
694	823	361
695	825	360
696	825	359
697	827	357
698	828	356
699	829	355
700	830	354
701	831	353
702	833	351
703	834	350
704	835	349
705	836	348
706	839	347
707	841	346
708	843	346
709	844	345
710	846	344
711	848	343
712	850	342
713	851	341
714	853	340
715	854	339
716	856	337
717	857	336
718	858	335
719	859	334
720	861	333
721	862	332
722	864	331
723	865	330
724	867	328
725	868	327
726	869	326
727	871	325
728	872	324
729	873	323
730	875	321
731	876	320
732	877	319
733	878	318
734	879	317
735	881	316
736	882	314
737	883	313
738	884	312
739	885	311
740	887	310
741	888	308
742	889	307
743	890	306
744	891	305
745	893	304
746	894	302
747	895	301
748	896	300
749	897	299
750	899	298
751	900	296
752	901	295
753	902	294
754	903	293
755	904	292
756	906	290
757	907	289
758	908	288
759	909	287
760	910	286
761	911	284
762	913	283
763	914	282
764	915	281
765	916	280
766	917	278
767	919	277
768	920	276
769	921	275
770	922	274
771	923	272
772	925	271
773	926	270
774	927	269
775	928	267
776	929	266
777	930	265
778	931	264
779	933	263
780	934	261
781	935	260
782	936	259
783	937	258
784	939	257
785	940	256
786	941	254
787	942	253
788	943	252
789	945	251
790	946	250
791	947	248
792	948	247
793	949	246
794	951	245
795	952	244
796	953	242
797	954	241
798	956	240
799	957	239
800	958	238
801	959	236
802	960	235
803	961	234
804	963	233
805	964	232
806	965	230
807	966	229
808	968	228
809	969	227
810	970	226
811	971	224
812	973	223
813	974	222
814	976	221
815	977	220
816	978	219
817	979	217
818	980	216
819	982	215
820	983	214
821	984	213
822	985	211
823	986	210
824	987	209
825	989	208
826	990	207
827	991	206
828	992	204
829	993	203
830	995	202
831	996	201
832	997	199
833	998	198
834	999	197
835	1000	196
836	1001	195
837	1003	193
838	1004	192
839	1006	191
840	1007	190
