iter	Passed	Remaining
0	0	38
1	0	37
2	1	36
3	1	36
4	1	34
5	2	34
6	2	33
7	2	33
8	3	32
9	3	31
10	3	31
11	4	31
12	4	30
13	4	30
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	25
26	9	25
27	9	25
28	10	25
29	10	24
30	10	24
31	11	24
32	11	24
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	16
55	19	15
56	20	15
57	20	14
58	21	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	24	12
66	24	12
67	25	12
68	26	11
69	26	11
70	27	11
71	28	10
72	28	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	40	0
98	40	0
99	40	0
