iter	MultiClass
0	1.34479477
1	1.303894545
2	1.262638472
3	1.229874969
4	1.191422434
5	1.157674638
6	1.126564368
7	1.093856081
8	1.066777147
9	1.042685778
10	1.019227419
11	0.9981047607
12	0.975072913
13	0.9573712541
14	0.9382026948
15	0.9166911403
16	0.8981282695
17	0.8817113088
18	0.8659750913
19	0.848548256
20	0.8342102378
21	0.8203715888
22	0.8048593766
23	0.7903151706
24	0.774312474
25	0.7622944056
26	0.7480177095
27	0.7377739747
28	0.7266942467
29	0.7172356928
30	0.7067075154
31	0.6967070463
32	0.6854837099
33	0.6774354696
34	0.6676493174
35	0.6596761449
36	0.6510690387
37	0.6434765678
38	0.6356188036
39	0.6284116212
40	0.6202760735
41	0.6126926281
42	0.606550712
43	0.5992742215
44	0.5927290654
45	0.5856905645
46	0.5790003948
47	0.5735874078
48	0.5667109346
49	0.5606780379
50	0.55610534
51	0.5496282505
52	0.5452513108
53	0.5407272337
54	0.5355343838
55	0.531532649
56	0.5270905424
57	0.5231392982
58	0.5185322445
59	0.5150468057
60	0.5113752442
61	0.5062564412
62	0.5025297192
63	0.4993627959
64	0.495208304
65	0.4916026627
66	0.4887362714
67	0.4844503081
68	0.4808190709
69	0.4772184452
70	0.4733945556
71	0.4715281115
72	0.4676439915
73	0.4648142192
74	0.4616915178
75	0.4575179298
76	0.4550673028
77	0.4522974734
78	0.4492443257
79	0.4467784638
80	0.4449040358
81	0.442621572
82	0.4401353722
83	0.4377704725
84	0.4357907783
85	0.4334766508
86	0.432207199
87	0.4293869494
88	0.4271165644
89	0.4252048719
90	0.4222854317
91	0.4194352845
92	0.4174554941
93	0.4156859994
94	0.4144404469
95	0.4120516176
96	0.4102094515
97	0.4087371259
98	0.4072497866
99	0.4054396986
100	0.4034198686
101	0.401157705
102	0.3995141952
103	0.3976557286
104	0.3960954025
105	0.3953078833
106	0.3935991765
107	0.3918866291
108	0.391016608
109	0.389945303
110	0.3883571467
111	0.3862011497
112	0.3847324951
113	0.3832926499
114	0.3819917658
115	0.38028126
116	0.3780723706
117	0.3764661681
118	0.3749921224
119	0.3740298746
120	0.3720598661
121	0.3700779892
122	0.3685393923
123	0.3672736425
124	0.3664168323
125	0.3649604334
126	0.3632655282
127	0.3624714101
128	0.3614831267
129	0.3602988866
130	0.3590671746
131	0.3573905985
132	0.3568769331
133	0.3561061233
134	0.3550495428
135	0.3540065653
136	0.3533798589
137	0.3523408047
138	0.3509368951
139	0.3500021753
140	0.3486783258
141	0.3484901417
142	0.3474986757
143	0.3463803665
144	0.3451473403
145	0.3442417435
146	0.342584362
147	0.3415485907
148	0.3405430644
149	0.3399448731
150	0.339091795
151	0.3381075139
152	0.3371131002
153	0.3364236851
154	0.3350405581
155	0.3345469362
156	0.3332775684
157	0.3327031082
158	0.3323327086
159	0.3320960196
160	0.3313383666
161	0.3300966064
162	0.329384065
163	0.3286726969
164	0.3275151873
165	0.3270237532
166	0.326093289
167	0.3255023509
168	0.3246015724
169	0.3237787364
170	0.3224558635
171	0.3217513975
172	0.3208663301
173	0.3204524551
174	0.3197091696
175	0.319075233
176	0.3177461907
177	0.3173877788
178	0.3171284693
179	0.3164462472
180	0.3154727102
181	0.3150436472
182	0.3143603088
183	0.3138843614
184	0.3133539709
185	0.3124624981
186	0.3112935924
187	0.3107054749
188	0.3099867359
189	0.3091733308
190	0.308411825
191	0.3070765369
192	0.3062732185
193	0.3056765082
194	0.3047094543
195	0.3040316042
196	0.3030936296
197	0.3018888106
198	0.3011470086
199	0.300835287
200	0.3000884624
201	0.2992063473
202	0.2985487766
203	0.298142407
204	0.297465094
205	0.2964578972
206	0.2953602642
207	0.2946847046
208	0.2939363837
209	0.2936111495
210	0.293023577
211	0.2922499174
212	0.2914227255
213	0.2907604228
214	0.2899619534
215	0.289462924
216	0.2889310983
217	0.2884068978
218	0.2878271966
219	0.2870754168
220	0.2864353868
221	0.2860204364
222	0.2850488451
223	0.2844615426
224	0.28411435
225	0.2833124905
226	0.282990292
227	0.2824841452
228	0.2817540145
229	0.2811563081
230	0.280943365
231	0.2802155941
232	0.2797755391
233	0.2791496252
234	0.2785409405
235	0.2774403701
236	0.2769103866
237	0.2762959597
238	0.2754406926
239	0.2749090268
240	0.2741194874
241	0.2731579685
242	0.2725628219
243	0.2719416423
244	0.2712585333
245	0.2708957388
246	0.2702370635
247	0.2694764994
248	0.2689434873
249	0.2680864708
250	0.2676666021
251	0.2671246467
252	0.2664951369
253	0.265983822
254	0.2655147408
255	0.2648856115
256	0.2643822923
257	0.2639130836
258	0.2633379886
259	0.2630379032
260	0.2623772804
261	0.2620167498
262	0.261708118
263	0.2611648343
264	0.2609365387
265	0.2604890486
266	0.2596664249
267	0.2595280289
268	0.2587816088
269	0.2584602201
270	0.2579612122
271	0.2573774268
272	0.2569141223
273	0.2566831154
274	0.2561243048
275	0.255618096
276	0.2550472497
277	0.2544984073
278	0.254104773
279	0.2535162217
280	0.2528129002
281	0.252434798
282	0.2520665125
283	0.251191743
284	0.2507084912
285	0.2505222272
286	0.2500733622
287	0.2497763088
288	0.2493628621
289	0.2488739743
290	0.2485932793
291	0.2482325926
292	0.2480199035
293	0.2476573077
294	0.2473763294
295	0.2467304314
296	0.2464011215
297	0.2458895068
298	0.2454752947
299	0.2450094944
300	0.2446141488
301	0.2443068572
302	0.2438105963
303	0.2432511851
304	0.2429804947
305	0.242741825
306	0.2423843983
307	0.242115606
308	0.2416782189
309	0.2415795798
310	0.241136877
311	0.2407640332
312	0.239938797
313	0.239450605
314	0.2390690312
315	0.2384813916
316	0.238014694
317	0.2370730807
318	0.2364958715
319	0.2362669594
320	0.2358612006
321	0.2354821199
322	0.2351666565
323	0.2346964543
324	0.2344122947
325	0.2337975434
326	0.2333395403
327	0.2329797706
328	0.2323420808
329	0.2320812233
330	0.2318238639
331	0.2316696965
332	0.2310801506
333	0.2305934149
334	0.230243029
335	0.2298411751
336	0.2293625294
337	0.2289225073
338	0.2285729789
339	0.2281902394
340	0.2279998522
341	0.2278321825
342	0.2273773667
343	0.2271880903
344	0.2270322244
345	0.2266052518
346	0.2260365432
347	0.2257493512
348	0.2252209132
349	0.2247983575
350	0.224661445
351	0.2244818925
352	0.224088438
353	0.2236188889
354	0.2234027765
355	0.2226903394
356	0.2223556916
357	0.2220568894
358	0.2218284956
359	0.2212374076
360	0.2209838754
361	0.2205493094
362	0.2202946671
363	0.2199165841
364	0.2192946117
365	0.2189527785
366	0.2184368936
367	0.2181662886
368	0.2177405906
369	0.2174495332
370	0.2171125674
371	0.2165363199
372	0.2161477897
373	0.2160099209
374	0.2156235818
375	0.2153270203
376	0.2146806461
377	0.214523113
378	0.2143098897
379	0.2137346995
380	0.2132622687
381	0.2130901338
382	0.2127691082
383	0.2124547917
384	0.2121231304
385	0.2117551626
386	0.2111111729
387	0.2107949673
388	0.2103499805
389	0.2101457808
390	0.2096975386
391	0.2093801787
392	0.2088783823
393	0.2086258585
394	0.2082586494
395	0.2082044707
396	0.207854818
397	0.2075984144
398	0.2072735776
399	0.2070230586
400	0.2067396417
401	0.2063704034
402	0.2060557441
403	0.2057354224
404	0.2054304675
405	0.2051642849
406	0.2047946576
407	0.2043222326
408	0.2040928621
409	0.2039420127
410	0.2036054968
411	0.2034065159
412	0.2031772219
413	0.2027476241
414	0.2024820768
415	0.2023566539
416	0.20225677
417	0.2019843716
418	0.2015276674
419	0.2011822029
420	0.2007810889
421	0.2005186611
422	0.2003558476
423	0.1999841699
424	0.1998841019
425	0.1996302707
426	0.199153769
427	0.1986414284
428	0.1983361285
429	0.1979760944
430	0.1975156335
431	0.1972538606
432	0.1970052654
433	0.1967359388
434	0.1963719309
435	0.1962083629
436	0.1958763974
437	0.1956604695
438	0.1952739784
439	0.1949452541
440	0.1947550086
441	0.194588022
442	0.1941119945
443	0.1937120614
444	0.1933086005
445	0.1930398745
446	0.1928035019
447	0.1925035734
448	0.1920565071
449	0.1916988123
450	0.1912809516
451	0.1911015031
452	0.1909193008
453	0.19056658
454	0.1902509308
455	0.1899468602
456	0.1897901853
457	0.1895845511
458	0.189213989
459	0.1889142459
460	0.1887138307
461	0.188424204
462	0.1882397543
463	0.1880981084
464	0.1879870682
465	0.1878060147
466	0.187515533
467	0.187267118
468	0.1867835085
469	0.1863121076
470	0.1860145092
471	0.1858374729
472	0.1857104946
473	0.1853917567
474	0.1850703014
475	0.1849311551
476	0.1846154041
477	0.1844499092
478	0.1841732065
479	0.183899405
480	0.1837457181
481	0.1835947906
482	0.1833121502
483	0.1830860605
484	0.1827933438
485	0.1824218696
486	0.1821538509
487	0.1818343414
488	0.1814926831
489	0.181312007
490	0.1810561325
491	0.1808014365
492	0.1806485385
493	0.180453332
494	0.1803164252
495	0.1801234339
496	0.1800713662
497	0.1799605801
498	0.1797606342
499	0.1794553173
500	0.1792703103
501	0.1789822121
502	0.1788078163
503	0.1786792979
504	0.1784787427
505	0.1781831419
506	0.1778018458
507	0.1776684276
508	0.1775673884
509	0.1772939315
510	0.1771104058
511	0.1769356961
512	0.1765725075
513	0.1763598714
514	0.1760944894
515	0.1759763849
516	0.175751771
517	0.175676274
518	0.1753863708
519	0.1751125944
520	0.1747171242
521	0.1745343293
522	0.1741769717
523	0.1737617872
524	0.1733781098
525	0.1731375077
526	0.1729945107
527	0.1729010411
528	0.1727501114
529	0.1724405949
530	0.1721153325
531	0.171900205
532	0.1714795116
533	0.1712267793
534	0.1710026207
535	0.1709060174
536	0.1705417967
537	0.1702995635
538	0.1701464353
539	0.1698151371
540	0.1695486126
541	0.1694392967
542	0.1691803598
543	0.1691017473
544	0.1689488935
545	0.1688334354
546	0.1687419087
547	0.1684264672
548	0.1680896577
549	0.1678499189
550	0.1676041391
551	0.1673957074
552	0.1672394682
553	0.167021497
554	0.1667564697
555	0.1666412052
556	0.1664576746
557	0.1662037906
558	0.1659737178
559	0.1657357915
560	0.1654960176
561	0.1652584971
562	0.1650174372
563	0.1649505966
564	0.1648089336
565	0.1646490346
566	0.1645209694
567	0.1642829063
568	0.1640171486
569	0.16383691
570	0.1636707275
571	0.1634332089
572	0.1632693546
573	0.1631509558
574	0.1628757731
575	0.1626888459
576	0.1624628184
577	0.1621625602
578	0.161902079
579	0.1617219284
580	0.1614037693
581	0.1611997294
582	0.1611119151
583	0.1608637763
584	0.1606342347
585	0.1604289538
586	0.1602623294
587	0.1601439698
588	0.1599254172
589	0.159809807
590	0.1595373894
591	0.1593580096
592	0.1590827828
593	0.1589211733
594	0.1587133298
595	0.1585397017
596	0.1583530601
597	0.1582733457
598	0.1581548572
599	0.1579852617
600	0.1578280572
601	0.1576377604
602	0.1574978225
603	0.1573347178
604	0.1570751017
605	0.1569515967
606	0.1567592412
607	0.1565467498
608	0.1564039812
609	0.1560951988
610	0.1559291186
611	0.1557350947
612	0.1555372066
613	0.1552610977
614	0.1551485859
615	0.1548444414
616	0.1545594327
617	0.1543944381
618	0.1541909833
619	0.1539447852
620	0.1538911297
621	0.1536503022
622	0.1535198714
623	0.1533826581
624	0.1529861861
625	0.1528866439
626	0.1526716815
627	0.1525348327
628	0.1523482261
629	0.1521265011
630	0.1518907178
631	0.1516764944
632	0.151439196
633	0.1512460971
634	0.1509263836
635	0.1507694562
636	0.1505711953
637	0.1502836705
638	0.15006645
639	0.1498579187
640	0.149726237
641	0.1495679797
642	0.1494636712
643	0.1491677429
644	0.1489876981
645	0.1487857839
646	0.148582639
647	0.1483949695
648	0.1483460745
649	0.1482744883
650	0.1482214674
651	0.1479318453
652	0.1477097143
653	0.1474821372
654	0.1473288729
655	0.1471466861
656	0.1470071887
657	0.1469470678
658	0.1468350338
659	0.1466491419
660	0.1464674938
661	0.1460592851
662	0.1458394554
663	0.1456446055
664	0.1455121835
665	0.1453034728
666	0.1451706013
667	0.1448738032
668	0.1447585222
669	0.1446466834
670	0.1444471722
671	0.1443878791
672	0.1443232703
673	0.144128163
674	0.1439747762
675	0.1437205925
676	0.1435285997
677	0.1433396658
678	0.1431686171
679	0.1431167139
680	0.1429892385
681	0.1429593989
682	0.1428699138
683	0.1425734269
684	0.1423849101
685	0.1421898769
686	0.1420638935
687	0.1419773956
688	0.1417684805
689	0.141572149
690	0.141427095
691	0.1412391229
692	0.1410555283
693	0.140906268
694	0.1407572249
695	0.1405311967
696	0.1404249489
697	0.140254226
698	0.1400406121
699	0.1397693134
700	0.1396459586
701	0.1395739736
702	0.1394745198
703	0.1392560366
704	0.1391229553
705	0.1388869751
706	0.138580573
707	0.138421595
708	0.1382641496
709	0.1381787656
710	0.1379636505
711	0.1377454116
712	0.1376572798
713	0.1375345638
714	0.1372729937
715	0.1370428179
716	0.1368248361
717	0.136676321
718	0.1364205285
719	0.1363448744
720	0.1362610477
721	0.1361968591
722	0.1359697468
723	0.1358546923
724	0.1356234654
725	0.1354727086
726	0.1353377279
727	0.1351765665
728	0.1350226203
729	0.1349285906
730	0.1347537275
731	0.1345368114
732	0.1344329186
733	0.1342478284
734	0.1341221927
735	0.1340223234
736	0.1339555773
737	0.1337769682
738	0.1336202614
739	0.1334730806
740	0.1333389887
741	0.1331449969
742	0.1330242685
743	0.1327862205
744	0.1326637472
745	0.1325153415
746	0.132386624
747	0.1323044938
748	0.1321891232
749	0.1319577765
750	0.1317765598
751	0.1315467972
752	0.1313849959
753	0.1311816325
754	0.1309881312
755	0.1308296842
756	0.1306395669
757	0.1305746463
758	0.1304274008
759	0.1301852001
760	0.1298303238
761	0.1297523023
762	0.129563927
763	0.1294029261
764	0.1292169417
765	0.1291176941
766	0.1290140684
767	0.1288741959
768	0.1287320471
769	0.1285540655
770	0.1284723192
771	0.1283613445
772	0.1282337349
773	0.128100315
774	0.1280393593
775	0.1279120808
776	0.1278140761
777	0.1276226907
778	0.1274585211
779	0.1272979817
780	0.1271347842
781	0.1269691873
782	0.1268264917
783	0.1266415221
784	0.1265199603
785	0.1264659856
786	0.1261905272
787	0.1259785432
788	0.1259281896
789	0.1258514314
790	0.1256894512
791	0.1255072191
792	0.1253863844
793	0.1252912733
794	0.1251372198
795	0.1249274124
796	0.1248562039
797	0.124783
798	0.1246630088
799	0.1245150499
800	0.1244277349
801	0.1242995304
802	0.1242270001
803	0.1239206045
804	0.1236859774
805	0.1235141244
806	0.1232798732
807	0.1231188109
808	0.1229794107
809	0.1228084615
810	0.1226336223
811	0.1225047898
812	0.1223311746
813	0.1222707844
814	0.1220203057
815	0.1219163845
816	0.1216900452
817	0.1215280314
818	0.1214027987
819	0.1212739423
820	0.12122313
821	0.1210988038
822	0.1209908653
823	0.1207470717
824	0.1205787768
825	0.1204483596
826	0.1202958265
827	0.1201609282
828	0.1200644565
829	0.1199810905
830	0.119795579
831	0.1196153431
832	0.1194519265
833	0.1193090031
834	0.1191342026
835	0.1190429295
836	0.1189221976
837	0.1187222935
838	0.118573847
839	0.118472024
840	0.1183627853
841	0.1182604757
842	0.1181783212
843	0.1180810392
844	0.1179565098
845	0.1178415859
846	0.1177191388
847	0.1175709848
848	0.1174427834
849	0.1172465776
850	0.1170344383
851	0.1169115766
852	0.1167276236
853	0.1165971038
854	0.1164575686
855	0.1163266849
856	0.1162151047
857	0.116094335
858	0.1160023571
859	0.1159443481
860	0.1158417071
861	0.1157518345
862	0.1156525994
863	0.1155362551
864	0.1153815275
865	0.1152312225
866	0.1151410772
867	0.1149100683
868	0.1147972881
869	0.1146524459
870	0.114534145
871	0.1144374993
872	0.1142461786
873	0.1140719118
874	0.1139341385
875	0.1138925822
876	0.1137394698
877	0.113586388
878	0.1134809442
879	0.1132769267
880	0.1132154003
881	0.113153662
882	0.1130751579
883	0.1129431768
884	0.1128646589
885	0.112779296
886	0.1127165448
887	0.112630741
888	0.1124830251
889	0.1123722954
890	0.1122666848
891	0.1120707589
892	0.1120066752
893	0.1119329471
894	0.1118054508
895	0.1117469138
896	0.1116184385
897	0.1115178004
898	0.1114055358
899	0.1113011942
900	0.1111152724
901	0.1109529442
902	0.1108022852
903	0.1107276798
904	0.1106043198
905	0.1105400018
906	0.1104412722
907	0.1102714213
908	0.1100942086
909	0.1100568647
910	0.1099017663
911	0.1098380139
912	0.109674887
913	0.1095027565
914	0.1094201687
915	0.1092207957
916	0.1091950396
917	0.1091481527
918	0.1090251093
919	0.1088721486
920	0.1087739693
921	0.1085898764
922	0.1084762023
923	0.1083698061
924	0.108228938
925	0.1081169901
926	0.1079971162
927	0.1078429581
928	0.1076433148
929	0.107445854
930	0.1073981908
931	0.1073249963
932	0.1072257463
933	0.1070757893
934	0.1069569792
935	0.1068975548
936	0.1067918968
937	0.1065999147
938	0.1065393629
939	0.1064870551
940	0.1063766
941	0.1062955871
942	0.1061582641
943	0.1060646005
944	0.1058965016
945	0.1057667431
946	0.1055803467
947	0.1053873025
948	0.1052891076
949	0.1050399218
950	0.1049806317
951	0.104822848
952	0.1046850824
953	0.1046153471
954	0.1045439415
955	0.1044097486
956	0.1042889257
957	0.1042192741
958	0.1041269112
959	0.1039933013
960	0.1039152171
961	0.1037900971
962	0.1037106012
963	0.1036257124
964	0.1035224076
965	0.103417944
966	0.1033740288
967	0.1032828993
968	0.1032418244
969	0.1031973996
970	0.1031125736
971	0.1030818324
972	0.1030101183
973	0.1029064019
974	0.1028216206
975	0.1027215199
976	0.1026887256
977	0.1026264047
978	0.1025096782
979	0.102396734
980	0.102271459
981	0.1022217191
982	0.1020849165
983	0.1019863819
984	0.1019036286
985	0.1018474511
986	0.1017842206
987	0.1016768138
988	0.1015658056
989	0.1015308872
990	0.1013703489
991	0.1012147538
992	0.1011423822
993	0.1010429486
994	0.1009779009
995	0.1009029812
996	0.1007911544
997	0.100600479
998	0.1005597259
999	0.1004045759
