iter	Passed	Remaining
0	0	41
1	0	38
2	1	37
3	1	36
4	1	36
5	2	35
6	2	35
7	2	34
8	3	33
9	3	32
10	4	32
11	4	31
12	4	31
13	5	32
14	5	31
15	6	31
16	6	31
17	6	30
18	7	30
19	7	30
20	7	29
21	8	29
22	8	29
23	9	28
24	9	28
25	9	28
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	22
42	16	21
43	16	21
44	17	20
45	17	20
46	17	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	14
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	26	12
67	26	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	11
73	30	10
74	31	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
