iter	MultiClass
0	1.339302974
1	1.305178243
2	1.266307027
3	1.232951444
4	1.194490456
5	1.161922293
6	1.133697212
7	1.105415183
8	1.080669453
9	1.057354666
10	1.034983245
11	1.01371617
12	0.9916146197
13	0.9748226277
14	0.9567954417
15	0.9386400194
16	0.9206761432
17	0.9053103344
18	0.8901368066
19	0.8763154757
20	0.8609884644
21	0.8477801452
22	0.8332209479
23	0.8214683946
24	0.8097154344
25	0.7957725867
26	0.7850582949
27	0.774321021
28	0.7633860085
29	0.7551482068
30	0.7442566096
31	0.7367280105
32	0.7249851681
33	0.7169153932
34	0.708930402
35	0.7001743224
36	0.6926745886
37	0.6855661564
38	0.6782465402
39	0.673489551
40	0.6672486773
41	0.6602300929
42	0.6524006134
43	0.6459584364
44	0.6409547306
45	0.6358702867
46	0.6286640673
47	0.6233780142
48	0.6178746436
49	0.6131747857
50	0.6089413397
51	0.6047112586
52	0.5997322986
53	0.5951376907
54	0.5884926286
55	0.5861397584
56	0.5818817234
57	0.5780780117
58	0.5724095215
59	0.5687543736
60	0.5655543937
61	0.5622484627
62	0.5571254958
63	0.5551353113
64	0.5502009705
65	0.5486633818
66	0.5462744729
67	0.5429248916
68	0.5384735705
69	0.5359976063
70	0.5334093371
71	0.5304651468
72	0.5287850014
73	0.527303312
74	0.5255146527
75	0.5223268619
76	0.5213908558
77	0.5205144302
78	0.5168495065
79	0.5130279339
80	0.5110500296
81	0.508522067
82	0.507250983
83	0.5037586428
84	0.5017787892
85	0.5004376395
86	0.4979283964
87	0.4955308691
88	0.4942863019
89	0.4934964736
90	0.4909862645
91	0.4887593812
92	0.4862846988
93	0.4843916483
94	0.4822114054
95	0.4808121803
96	0.4791467783
97	0.4781289156
98	0.476613765
99	0.4750281078
