iter	Passed	Remaining
0	0	49
1	0	44
2	1	42
3	1	40
4	2	39
5	2	38
6	2	38
7	3	38
8	3	37
9	4	37
10	4	36
11	4	35
12	5	35
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	29
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	18	22
45	18	21
46	18	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	24	15
61	25	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	41	1
96	41	1
97	41	0
98	42	0
99	42	0
