iter	MultiClass
0	1.33928542
1	1.295979322
2	1.256702632
3	1.215643419
4	1.177016857
5	1.145914869
6	1.114914564
7	1.086810062
8	1.055932163
9	1.031309002
10	1.004710869
11	0.983474806
12	0.9591311281
13	0.9395952324
14	0.920302761
15	0.9025005312
16	0.8855054523
17	0.8689022854
18	0.8505753172
19	0.8331758041
20	0.8196812796
21	0.8059838157
22	0.7938332676
23	0.7814791358
24	0.769357657
25	0.7579426173
26	0.746894127
27	0.7353535479
28	0.7230399423
29	0.7130470416
30	0.7038155013
31	0.6922503844
32	0.6814895529
33	0.6737739997
34	0.6656864711
35	0.659049175
36	0.6522039652
37	0.6449664857
38	0.6376689656
39	0.6312463342
40	0.6230722021
41	0.616614922
42	0.6099522393
43	0.6021553978
44	0.5965739322
45	0.5913649333
46	0.5838755651
47	0.5789827881
48	0.5735566754
49	0.5685204346
50	0.5621819569
51	0.5586803533
52	0.5540685394
53	0.549517205
54	0.5438938653
55	0.5382072171
56	0.5324916799
57	0.528461206
58	0.5243082171
59	0.5196183854
60	0.5161175889
61	0.5128627421
62	0.5098736594
63	0.5077700171
64	0.5050345216
65	0.5020739407
66	0.4986552351
67	0.495815821
68	0.4940624008
69	0.4927009114
70	0.4898099691
71	0.4876900265
72	0.4854523573
73	0.4836911142
74	0.4820252782
75	0.4795745703
76	0.4761231812
77	0.4739365342
78	0.4722747625
79	0.4690525731
80	0.4675427213
81	0.4653712133
82	0.4634005239
83	0.4605387752
84	0.4581391897
85	0.4562350359
86	0.4553497955
87	0.4533806693
88	0.4510860926
89	0.4504475912
90	0.4478242016
91	0.446887416
92	0.444316986
93	0.4424072934
94	0.4401626251
95	0.4372551482
96	0.4361396539
97	0.4337150828
98	0.4327377969
99	0.4320847062
