iter	Passed	Remaining
0	4	423
1	7	373
2	9	298
3	10	251
4	11	221
5	12	200
6	13	183
7	14	169
8	15	157
9	16	148
10	17	140
11	17	131
12	18	123
13	18	116
14	19	110
15	19	104
16	20	100
17	21	96
18	21	91
19	21	87
20	22	86
21	23	84
22	24	83
23	25	81
24	26	78
25	26	75
26	27	74
27	28	72
28	28	69
29	28	67
30	29	65
31	29	63
32	30	61
33	30	59
34	31	57
35	31	56
36	31	54
37	32	52
38	32	51
39	33	49
40	33	48
41	33	46
42	34	45
43	34	44
44	35	42
45	35	41
46	35	40
47	36	39
48	36	38
49	36	36
50	37	35
51	37	34
52	38	33
53	38	32
54	38	31
55	39	30
56	39	29
57	39	28
58	40	28
59	43	28
60	46	29
61	49	30
62	51	30
63	56	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	79	8
90	80	7
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	84	2
97	84	1
98	85	0
99	86	0
