iter	Passed	Remaining
0	0	43
1	0	40
2	1	37
3	1	36
4	1	36
5	2	35
6	2	34
7	3	35
8	3	35
9	3	34
10	4	34
11	4	33
12	5	33
13	5	33
14	5	33
15	6	33
16	6	32
17	7	32
18	7	31
19	7	31
20	8	31
21	8	31
22	9	30
23	9	30
24	10	30
25	10	29
26	10	29
27	11	29
28	11	28
29	12	28
30	12	28
31	12	27
32	13	27
33	13	26
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	16	24
41	17	23
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	32	11
74	32	10
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	35	7
82	36	7
83	36	6
84	37	6
85	37	6
86	37	5
87	38	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
