iter	Passed	Remaining
0	0	43
1	0	40
2	1	38
3	1	37
4	1	37
5	2	35
6	2	34
7	2	34
8	3	34
9	3	34
10	4	33
11	4	33
12	5	33
13	5	32
14	5	32
15	6	31
16	6	31
17	6	31
18	7	31
19	7	30
20	8	30
21	8	29
22	8	29
23	9	28
24	9	28
25	9	27
26	10	27
27	10	27
28	11	27
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	25
35	14	24
36	14	24
37	14	24
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	23	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	33	9
78	34	9
79	35	8
80	36	8
81	36	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	39	5
88	40	5
89	41	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	44	0
98	45	0
99	45	0
