iter	MultiClass
0	1.337016666
1	1.29413344
2	1.25431159
3	1.214714594
4	1.184048422
5	1.152096208
6	1.122676548
7	1.091263731
8	1.063867387
9	1.038890796
10	1.010977877
11	0.9884867074
12	0.9705038611
13	0.9493963995
14	0.9333616925
15	0.9114322147
16	0.8906904192
17	0.874442213
18	0.858445194
19	0.8423504561
20	0.8267384096
21	0.8138925382
22	0.8002492279
23	0.7853881584
24	0.7729779343
25	0.7613840659
26	0.7500154996
27	0.7399359029
28	0.7290156982
29	0.718707834
30	0.7085806599
31	0.6987001852
32	0.6892181669
33	0.6807848355
34	0.6717502803
35	0.6615712869
36	0.6519031594
37	0.6423466394
38	0.6357522323
39	0.6271345402
40	0.6209671021
41	0.6146468013
42	0.6078886332
43	0.6008966972
44	0.5934037565
45	0.587530751
46	0.5823515238
47	0.5780224123
48	0.5738826284
49	0.5689408738
50	0.5645277827
51	0.560914088
52	0.5556306527
53	0.549169891
54	0.5435571293
55	0.5404628949
56	0.536465047
57	0.5326761721
58	0.5297966792
59	0.5278480343
60	0.5249704413
61	0.5198825414
62	0.5160036532
63	0.5136441315
64	0.5101114082
65	0.5060396986
66	0.5038245103
67	0.5004575759
68	0.4977129426
69	0.4946248968
70	0.4920385125
71	0.4882771311
72	0.485444849
73	0.4818165174
74	0.4786323551
75	0.4760187699
76	0.4738196293
77	0.4705898179
78	0.4690473913
79	0.4672528258
80	0.4655401643
81	0.4636224052
82	0.4617653544
83	0.459754519
84	0.4570132415
85	0.45548564
86	0.4527156269
87	0.4509993226
88	0.4497889777
89	0.4487322596
90	0.4472421051
91	0.4448537619
92	0.44286804
93	0.4407496081
94	0.4397963419
95	0.4372819107
96	0.4352969002
97	0.4329227614
98	0.4308926019
99	0.4285069483
