iter	Passed	Remaining
0	0	41
1	0	37
2	1	35
3	1	35
4	1	34
5	2	33
6	2	32
7	2	32
8	3	32
9	3	31
10	3	31
11	4	30
12	4	30
13	4	29
14	5	29
15	5	29
16	5	28
17	6	28
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	23
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	21
41	15	20
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	20	17
54	20	16
55	21	16
56	21	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	24	14
64	25	13
65	26	13
66	27	13
67	28	13
68	28	12
69	29	12
70	30	12
71	30	11
72	30	11
73	31	11
74	32	10
75	32	10
76	33	9
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	38	7
84	38	6
85	38	6
86	39	5
87	40	5
88	41	5
89	41	4
90	42	4
91	43	3
92	44	3
93	44	2
94	46	2
95	46	1
96	47	1
97	48	0
98	48	0
99	49	0
