iter	MultiClass
0	1.34002682
1	1.298084708
2	1.25855438
3	1.225085641
4	1.185038421
5	1.152096373
6	1.123236901
7	1.095581959
8	1.069925341
9	1.046023608
10	1.023137148
11	1.001966423
12	0.980103278
13	0.9633065101
14	0.9451193365
15	0.9237919758
16	0.9049789879
17	0.888521843
18	0.8733481074
19	0.8601090405
20	0.8447037863
21	0.8328099241
22	0.8162378942
23	0.8039373939
24	0.7921245028
25	0.7772687437
26	0.7641163302
27	0.7534092758
28	0.7421557565
29	0.7324232688
30	0.7211342823
31	0.7129902941
32	0.7014780771
33	0.6941792658
34	0.685881114
35	0.677074074
36	0.6696609027
37	0.662623777
38	0.6554288837
39	0.6491857004
40	0.6431689946
41	0.6342948518
42	0.6251538156
43	0.6189016406
44	0.6133362984
45	0.6076960839
46	0.6000137111
47	0.5949050437
48	0.5896531121
49	0.5832271281
50	0.5790763138
51	0.574263841
52	0.5695630547
53	0.5666467657
54	0.559992262
55	0.5559617666
56	0.5518602782
57	0.5478703899
58	0.5426731714
59	0.5372198068
60	0.5335831629
61	0.5300259442
62	0.525032358
63	0.5227521091
64	0.5176824434
65	0.5163376675
66	0.5137111104
67	0.5112286735
68	0.5067904852
69	0.5032418277
70	0.5011131131
71	0.4978512896
72	0.496012536
73	0.4933714272
74	0.4918261386
75	0.4890435423
76	0.4871400138
77	0.4863137799
78	0.482546706
79	0.4786919439
80	0.4752227452
81	0.472878365
82	0.4710252697
83	0.4673482177
84	0.4658455689
85	0.4645954116
86	0.4636390761
87	0.4605940997
88	0.4584822914
89	0.4575080668
90	0.4558458879
91	0.4532980185
92	0.4508005843
93	0.4489511884
94	0.4460175441
95	0.4443310747
96	0.4423236331
97	0.4412219196
98	0.4401572684
99	0.4371289725
