iter	Passed	Remaining
0	0	47
1	0	45
2	1	43
3	1	43
4	2	43
5	2	42
6	3	42
7	3	41
8	4	41
9	4	40
10	5	40
11	5	40
12	6	40
13	6	39
14	6	39
15	7	38
16	7	38
17	8	37
18	8	37
19	9	36
20	9	36
21	10	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	16	28
37	17	28
38	18	28
39	18	28
40	19	27
41	19	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	21
55	27	21
56	27	20
57	28	20
58	28	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	33	17
66	34	16
67	34	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	55	0
