iter	MultiClass
0	1.336447104
1	1.29499075
2	1.260388849
3	1.226885468
4	1.19792455
5	1.170082449
6	1.142603739
7	1.116023995
8	1.085608333
9	1.060028251
10	1.037302501
11	1.015706734
12	0.9934912301
13	0.9749923644
14	0.9536683881
15	0.9337225746
16	0.9164906222
17	0.8986961247
18	0.8783426202
19	0.860951418
20	0.8441145783
21	0.8299198393
22	0.8169288193
23	0.8029495658
24	0.7895716054
25	0.7765008009
26	0.7665841059
27	0.7549627839
28	0.7453658132
29	0.7353650086
30	0.724908269
31	0.7164263587
32	0.7038302499
33	0.6941408613
34	0.6851365055
35	0.676652407
36	0.6687314798
37	0.6608946459
38	0.6532462715
39	0.6443434953
40	0.63877396
41	0.6289831799
42	0.6218226833
43	0.6154505916
44	0.6085968208
45	0.5994692141
46	0.5947894034
47	0.5882944316
48	0.5827523898
49	0.5775181974
50	0.5709645672
51	0.5669576111
52	0.5613493407
53	0.5555358916
54	0.5511517764
55	0.5460891926
56	0.5422536758
57	0.5374983516
58	0.5315654287
59	0.5266191167
60	0.5216778308
61	0.5169080023
62	0.512943662
63	0.5087529639
64	0.5042575674
65	0.5004195335
66	0.496132928
67	0.4929682551
68	0.4895950093
69	0.4867812524
70	0.4829392041
71	0.4789674213
72	0.4764631975
73	0.4742968915
74	0.4719003596
75	0.4672453641
76	0.4637771579
77	0.4609625019
78	0.4580355923
79	0.4562501732
80	0.452753292
81	0.4487538743
82	0.4469048934
83	0.4433345824
84	0.4407032983
85	0.4379306815
86	0.4359098743
87	0.4343999852
88	0.4336652094
89	0.4317542164
90	0.4295914324
91	0.4270170505
92	0.4254693093
93	0.4234821585
94	0.4217261241
95	0.4185952559
96	0.4163922352
97	0.4143232013
98	0.4121730387
99	0.4098647545
100	0.4084150928
101	0.4067323071
102	0.4047619049
103	0.4029258136
104	0.4013032807
105	0.4004239334
106	0.3983948445
107	0.3966165723
108	0.3936453274
109	0.3924988491
110	0.3916021063
111	0.3899390824
112	0.3875726834
113	0.3861496643
114	0.3848150889
115	0.3837926264
116	0.3822579901
117	0.3807331633
118	0.3791811105
119	0.3775815034
120	0.3763514554
121	0.3749222031
122	0.3729789491
123	0.3708677139
124	0.3700624885
125	0.3679247946
126	0.367114775
127	0.3665610954
128	0.3657079939
129	0.3647866679
130	0.3635156681
131	0.3626303449
132	0.3614519803
133	0.3605568167
134	0.3594515226
135	0.3582262786
136	0.3571495903
137	0.3561273415
138	0.3558233996
139	0.3552516021
140	0.3535938584
141	0.3522196065
142	0.3507787742
143	0.3487356436
144	0.3473925964
145	0.3459748199
146	0.3450895765
147	0.3440070007
148	0.3428382454
149	0.3417329361
150	0.3405180352
151	0.3392111906
152	0.3382462669
153	0.3372180065
154	0.3360417528
155	0.3346555756
156	0.3340113108
157	0.3332445384
158	0.3327780906
159	0.331975095
160	0.3307559996
161	0.3303487701
162	0.3295279043
163	0.3287188776
164	0.3284424255
165	0.3278148287
